RAWNET,FSSLTDE2,FSGA,FSTANF,FSASSET,FSSSI,FSNONCIT,FSSTDDE2,SHELDED,REALPROP,TANF_IND,HWGT,RAWERND,WRK_POOR,FSERNDED,FSUNEARN,FSNETINC,TPOV,FSERNDE2,FSNELDER,CERTHHSZ,FSWAGES,FSTOTDED,FSTOTDE2,FSUSIZE,FSSLTDED,FSGRINC,FSDIS,FSEARN,LIQRESOR,CAT_ELIG,FSVEHAST,VEHICLEA
188.0,92.0,0.0,0.0,267.0,0.0,0.0,201.0,92.0,0.0,0.0,765.4373824019225,0.0,0.0,0.0,414.0,188.0,30.0,0.0,0.0,3.0,0.0,226.0,226.0,3.0,92.0,414.0,0.0,0.0,267.0,0.0,0.0,1.0
255.0,0.0,0.0,389.0,0.0,0.0,0.0,134.0,0.0,0.0,1.0,788.258696840136,0.0,0.0,0.0,389.0,255.0,28.0,0.0,0.0,3.0,0.0,134.0,134.0,3.0,0.0,389.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,40.0,0.0,5.0,0.0,0.0,1.0,0.0,134.0,40.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0
734.0,173.0,231.0,0.0,0.0,0.0,0.0,201.0,173.0,0.0,0.0,945.5684625756128,203.0,1.0,202.0,231.0,735.0,113.0,303.0,1.0,2.0,1013.0,509.0,509.0,2.0,173.0,1244.0,0.0,1013.0,0.0,0.0,0.0,1.0
5.0,413.0,0.0,0.0,0.0,603.0,0.0,201.0,463.0,0.0,0.0,730.1300923602863,0.0,0.0,0.0,603.0,56.0,74.0,0.0,0.0,1.0,0.0,547.0,547.0,1.0,413.0,603.0,1.0,0.0,0.0,1.0,0.0,1.0
747.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,869.2314375616088,0.0,0.0,0.0,881.0,747.0,108.0,0.0,0.0,1.0,0.0,134.0,134.0,1.0,0.0,881.0,1.0,0.0,0.0,0.0,0.0,1.0
536.0,198.0,0.0,0.0,0.0,0.0,0.0,201.0,198.0,0.0,0.0,869.2314375616089,0.0,0.0,0.0,923.0,537.0,113.0,0.0,1.0,1.0,0.0,386.0,386.0,1.0,198.0,923.0,0.0,0.0,0.0,0.0,0.0,1.0
677.0,129.0,0.0,231.0,0.0,156.0,0.0,201.0,129.0,0.0,1.0,926.0073359137072,0.0,0.0,0.0,940.0,677.0,85.0,0.0,0.0,2.0,0.0,263.0,263.0,2.0,129.0,940.0,1.0,0.0,0.0,1.0,0.0,1.0
370.0,119.0,0.0,0.0,0.0,247.0,0.0,201.0,119.0,0.0,0.0,826.0282440535424,0.0,0.0,0.0,623.0,370.0,57.0,0.0,1.0,2.0,0.0,253.0,253.0,2.0,119.0,623.0,0.0,0.0,0.0,0.0,0.0,1.0
97.0,0.0,231.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,0.0,231.0,97.0,28.0,0.0,0.0,1.0,0.0,134.0,134.0,1.0,0.0,231.0,0.0,0.0,0.0,1.0,0.0,1.0
1166.0,0.0,0.0,0.0,210.0,0.0,0.0,134.0,0.0,0.0,0.0,1084.9357846450434,325.0,1.0,325.0,0.0,1166.0,117.0,325.0,0.0,3.0,1625.0,459.0,459.0,3.0,0.0,1625.0,0.0,1625.0,210.0,0.0,0.0,1.0
97.0,0.0,231.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,0.0,231.0,97.0,28.0,0.0,0.0,1.0,0.0,134.0,134.0,1.0,0.0,231.0,0.0,0.0,0.0,1.0,0.0,1.0
714.0,250.0,0.0,294.0,0.0,523.0,1.0,279.0,250.0,0.0,1.0,1029.4897706171243,0.0,0.0,0.0,1150.0,714.0,46.0,0.0,0.0,7.0,0.0,436.0,436.0,7.0,250.0,1150.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,705.4012962642041,0.0,0.0,0.0,100.0,0.0,9.0,0.0,0.0,2.0,0.0,134.0,100.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0
151.0,337.0,0.0,0.0,2.0,25.0,0.0,201.0,337.0,0.0,0.0,761.6452408870326,0.0,0.0,0.0,623.0,152.0,76.0,0.0,0.0,1.0,0.0,471.0,471.0,1.0,337.0,623.0,1.0,0.0,2.0,1.0,0.0,1.0
647.0,417.0,0.0,326.0,0.0,0.0,0.0,162.0,417.0,0.0,1.0,958.3204150285828,246.0,1.0,246.0,326.0,647.0,80.0,274.0,0.0,5.0,1231.0,910.0,910.0,5.0,417.0,1557.0,0.0,1231.0,0.0,1.0,0.0,1.0
0.0,97.0,0.0,231.0,0.0,0.0,0.0,0.0,417.0,0.0,1.0,711.655694960853,0.0,0.0,0.0,231.0,0.0,28.0,0.0,0.0,1.0,0.0,551.0,231.0,1.0,417.0,231.0,0.0,0.0,0.0,1.0,0.0,1.0
97.0,0.0,231.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,0.0,231.0,97.0,28.0,0.0,0.0,1.0,0.0,134.0,134.0,1.0,0.0,231.0,0.0,0.0,0.0,1.0,0.0,1.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,1011.3041718713245,260.0,1.0,259.0,0.0,898.0,78.0,259.0,0.0,4.0,1296.0,398.0,398.0,4.0,0.0,1296.0,0.0,1296.0,0.0,0.0,0.0,1.0
268.0,349.0,0.0,0.0,0.0,0.0,0.0,201.0,348.0,0.0,0.0,798.594035706463,0.0,0.0,0.0,750.0,267.0,92.0,0.0,0.0,1.0,0.0,483.0,483.0,1.0,349.0,750.0,0.0,0.0,0.0,0.0,0.0,1.0
405.0,64.0,0.0,0.0,0.0,603.0,0.0,198.0,65.0,0.0,0.0,844.2366646014949,0.0,0.0,0.0,603.0,405.0,74.0,0.0,1.0,1.0,0.0,198.0,198.0,1.0,64.0,603.0,0.0,0.0,0.0,1.0,0.0,1.0
303.0,165.0,0.0,0.0,948.0,603.0,0.0,201.0,165.0,0.0,0.0,810.5480575611468,0.0,0.0,0.0,603.0,304.0,74.0,0.0,0.0,1.0,0.0,299.0,299.0,1.0,165.0,603.0,1.0,0.0,948.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,134.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150.0,104.0,0.0,389.0,0.0,0.0,0.0,201.0,104.0,0.0,1.0,754.3041129423528,0.0,0.0,0.0,389.0,151.0,35.0,0.0,0.0,2.0,0.0,238.0,238.0,2.0,104.0,389.0,0.0,0.0,0.0,1.0,0.0,1.0
807.0,85.0,0.0,0.0,403.0,0.0,0.0,208.0,85.0,0.0,0.0,981.9624818750046,258.0,1.0,258.0,0.0,808.0,77.0,343.0,0.0,4.0,1290.0,482.0,482.0,4.0,85.0,1290.0,0.0,1290.0,403.0,0.0,0.0,1.0
495.0,417.0,0.0,0.0,0.0,0.0,0.0,142.0,417.0,0.0,0.0,866.5032035168679,223.0,1.0,222.0,155.0,495.0,92.0,274.0,0.0,3.0,1113.0,773.0,773.0,3.0,417.0,1268.0,0.0,1113.0,0.0,0.0,0.0,1.0
0.0,387.0,0.0,0.0,0.0,0.0,0.0,170.0,417.0,0.0,0.0,711.655694960853,162.0,1.0,162.0,0.0,0.0,99.0,212.0,0.0,1.0,812.0,842.0,812.0,1.0,417.0,812.0,0.0,812.0,0.0,0.0,0.0,1.0
547.0,228.0,0.0,0.0,0.0,95.0,0.0,201.0,229.0,0.0,0.0,869.2314375616089,118.0,1.0,117.0,452.0,549.0,127.0,175.0,0.0,1.0,589.0,492.0,492.0,1.0,228.0,1041.0,1.0,589.0,0.0,1.0,0.0,1.0
255.0,0.0,0.0,389.0,0.0,0.0,0.0,134.0,0.0,0.0,1.0,788.258696840136,0.0,0.0,0.0,389.0,255.0,28.0,0.0,0.0,3.0,0.0,134.0,134.0,3.0,0.0,389.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,134.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125.0,417.0,0.0,0.0,0.0,0.0,2.0,139.0,417.0,0.0,0.0,760.2697129613572,170.0,1.0,170.0,0.0,126.0,51.0,170.0,0.0,4.0,852.0,726.0,726.0,4.0,417.0,852.0,0.0,852.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,417.0,0.0,1.0,704.5805438707989,0.0,0.0,0.0,170.0,0.0,12.0,0.0,0.0,3.0,0.0,611.0,170.0,3.0,417.0,170.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,134.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,747.4949387192787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,579.0,0.0,5.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
278.0,114.0,0.0,114.0,0.0,0.0,0.0,201.0,115.0,0.0,1.0,796.6865540457782,103.0,1.0,103.0,114.0,279.0,57.0,154.0,0.0,2.0,516.0,351.0,351.0,2.0,114.0,630.0,0.0,516.0,0.0,1.0,0.0,1.0
97.0,0.0,231.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,0.0,231.0,97.0,28.0,0.0,0.0,1.0,0.0,134.0,134.0,1.0,0.0,231.0,0.0,0.0,0.0,1.0,0.0,1.0
573.0,163.0,0.0,310.0,0.0,0.0,0.0,201.0,164.0,0.0,1.0,892.3187288676908,183.0,1.0,183.0,310.0,574.0,111.0,274.0,0.0,2.0,916.0,652.0,652.0,2.0,163.0,1226.0,0.0,916.0,0.0,1.0,0.0,1.0
